Date,10Y_Treasury_Rate
2021-01-04,0.9169999957084656
2021-01-05,0.9549999833106995
2021-01-06,1.0420000553131104
2021-01-07,1.0709999799728394
2021-01-08,1.1050000190734863
2021-01-11,1.1319999694824219
2021-01-12,1.1380000114440918
2021-01-13,1.0880000591278076
2021-01-14,1.128999948501587
2021-01-15,1.097000002861023
2021-01-19,1.0920000076293945
2021-01-20,1.090000033378601
2021-01-21,1.1089999675750732
2021-01-22,1.090999960899353
2021-01-25,1.0399999618530273
2021-01-26,1.0399999618530273
2021-01-27,1.0140000581741333
2021-01-28,1.0570000410079956
2021-01-29,1.093000054359436
2021-02-01,1.0770000219345093
2021-02-02,1.1050000190734863
2021-02-03,1.13100004196167
2021-02-04,1.1390000581741333
2021-02-05,1.1699999570846558
2021-02-08,1.159999966621399
2021-02-09,1.156999945640564
2021-02-10,1.1330000162124634
2021-02-11,1.1579999923706055
2021-02-12,1.2000000476837158
2021-02-16,1.2990000247955322
2021-02-17,1.3009999990463257
2021-02-18,1.2869999408721924
2021-02-19,1.3450000286102295
2021-02-22,1.3700000047683716
2021-02-23,1.3619999885559082
2021-02-24,1.3890000581741333
2021-02-25,1.5180000066757202
2021-02-26,1.4600000381469727
2021-03-01,1.4459999799728394
2021-03-02,1.4149999618530273
2021-03-03,1.4700000286102295
2021-03-04,1.5499999523162842
2021-03-05,1.5540000200271606
2021-03-08,1.5959999561309814
2021-03-09,1.5460000038146973
2021-03-10,1.5199999809265137
2021-03-11,1.5269999504089355
2021-03-12,1.6349999904632568
2021-03-15,1.6069999933242798
2021-03-16,1.621000051498413
2021-03-17,1.6410000324249268
2021-03-18,1.7300000190734863
2021-03-19,1.7319999933242798
2021-03-22,1.684000015258789
2021-03-23,1.6380000114440918
2021-03-24,1.6139999628067017
2021-03-25,1.6139999628067017
2021-03-26,1.659999966621399
2021-03-29,1.7209999561309814
2021-03-30,1.7259999513626099
2021-03-31,1.746000051498413
2021-04-01,1.6790000200271606
2021-04-05,1.7200000286102295
2021-04-06,1.656000018119812
2021-04-07,1.652999997138977
2021-04-08,1.6319999694824219
2021-04-09,1.6660000085830688
2021-04-12,1.6749999523162842
2021-04-13,1.6230000257492065
2021-04-14,1.6380000114440918
2021-04-15,1.5299999713897705
2021-04-16,1.5729999542236328
2021-04-19,1.6009999513626099
2021-04-20,1.562000036239624
2021-04-21,1.5640000104904175
2021-04-22,1.5540000200271606
2021-04-23,1.5670000314712524
2021-04-26,1.5700000524520874
2021-04-27,1.621999979019165
2021-04-28,1.6200000047683716
2021-04-29,1.6399999856948853
2021-04-30,1.63100004196167
2021-05-03,1.6069999933242798
2021-05-04,1.5920000076293945
2021-05-05,1.5839999914169312
2021-05-06,1.5609999895095825
2021-05-07,1.5770000219345093
2021-05-10,1.6019999980926514
